title_current,major,job_zone,outlook,emp,wage,pct,tier
Couriers and Messengers,Office and Administrative Support Occupations,2.00,2.00,71920.00,38340.00,33.87,Restructuring (20–39%)
Court Reporters and Simultaneous Captioners,"Arts, Design, Entertainment, Sports, and Media Occupations",3.00,3.00,12630.00,67310.00,19.41,Low (<20%)
"Court, Municipal, and License Clerks",Office and Administrative Support Occupations,2.00,2.00,170010.00,47700.00,40.28,Moderate (40–59%)
Craft Artists,"Arts, Design, Entertainment, Sports, and Media Occupations",3.00,1.00,4370.00,38480.00,65.47,High (≥60%)
Crane and Tower Operators,Transportation and Material Moving Occupations,3.00,4.00,42000.00,66370.00,15.25,Low (<20%)
Credit Analysts,Business and Financial Operations Occupations,4.00,4.00,67370.00,80970.00,54.05,Moderate (40–59%)
"Credit Authorizers, Checkers, and Clerks",Office and Administrative Support Occupations,2.00,2.00,11960.00,49130.00,35.11,Restructuring (20–39%)
Credit Counselors,Business and Financial Operations Occupations,4.00,3.00,28110.00,50480.00,57.22,Moderate (40–59%)
Crematory Operators,Personal Care and Service Occupations,2.00,2.00,2950.00,42880.00,15.67,Low (<20%)
"Criminal Justice and Law Enforcement Teachers, Postsecondary",Educational Instruction and Library Occupations,5.00,3.00,13560.00,71470.00,71.01,High (≥60%)
Critical Care Nurses,Healthcare Practitioners and Technical Occupations,4.00,5.00,665841.00,93600.00,24.02,Restructuring (20–39%)
Crossing Guards and Flaggers,Protective Service Occupations,2.00,2.00,90180.00,37700.00,25.46,Restructuring (20–39%)
"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",Production Occupations,2.00,3.00,28550.00,46890.00,18.72,Low (<20%)
Curators,Educational Instruction and Library Occupations,5.00,1.00,12280.00,61770.00,84.17,High (≥60%)
Customer Service Representatives,Office and Administrative Support Occupations,2.00,2.00,2725930.00,42830.00,84.08,High (≥60%)
Customs Brokers,Business and Financial Operations Occupations,3.00,4.00,85752.00,78420.00,43.21,Moderate (40–59%)
Customs and Border Protection Officers,Protective Service Occupations,3.00,5.00,528885.00,76290.00,44.11,Moderate (40–59%)
"Cutters and Trimmers, Hand",Production Occupations,1.00,2.00,7070.00,38800.00,10.93,Low (<20%)
"Cutting and Slicing Machine Setters, Operators, and Tenders",Production Occupations,2.00,2.00,47540.00,45700.00,16.59,Low (<20%)
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",Production Occupations,2.00,3.00,174430.00,45590.00,18.57,Low (<20%)
Cytogenetic Technologists,Healthcare Practitioners and Technical Occupations,4.00,4.00,42880.00,61890.00,38.37,Restructuring (20–39%)
Cytotechnologists,Healthcare Practitioners and Technical Occupations,5.00,4.00,42880.00,61890.00,45.93,Moderate (40–59%)
Dancers,"Arts, Design, Entertainment, Sports, and Media Occupations",3.00,0.00,9060.00,51020.00,21.71,Restructuring (20–39%)
Data Entry Keyers,Office and Administrative Support Occupations,2.00,3.00,135280.00,39850.00,65.89,High (≥60%)
Data Scientists,Computer and Mathematical Occupations,4.00,5.00,6898.00,112590.00,46.04,Moderate (40–59%)
Data Warehousing Specialists,Computer and Mathematical Occupations,4.00,5.00,32385.00,135980.00,88.71,High (≥60%)
Database Administrators,Computer and Mathematical Occupations,4.00,5.00,49461.98,122852.56,75.35,High (≥60%)
Database Architects,Computer and Mathematical Occupations,4.00,5.00,49461.98,122852.56,68.69,High (≥60%)
Demonstrators and Product Promoters,Sales and Related Occupations,2.00,1.00,64770.00,37960.00,57.43,Moderate (40–59%)
Dental Assistants,Healthcare Support Occupations,3.00,2.00,375430.00,47300.00,38.05,Restructuring (20–39%)
Dental Hygienists,Healthcare Practitioners and Technical Occupations,3.00,5.00,219070.00,94260.00,9.99,Low (<20%)
Dental Laboratory Technicians,Production Occupations,2.00,2.00,33920.00,48310.00,14.43,Low (<20%)
"Dentists, General",Healthcare Practitioners and Technical Occupations,5.00,5.00,113490.00,172790.00,33.43,Restructuring (20–39%)
