title_current,pct,pct_ceiling,ai_projection,exposure_projection,major,job_zone,outlook,emp_nat
Industrial Engineers,49.94,59.59,43.97,65.84,Architecture and Engineering Occupations,4.00,5.00,87557.50
"Elementary School Teachers, Except Special Education",63.21,67.10,43.78,73.10,Educational Instruction and Library Occupations,4.00,5.00,1393310.00
Nanotechnology Engineering Technologists and Technicians,23.23,31.88,43.77,58.62,Architecture and Engineering Occupations,4.00,3.00,40840.00
"Family and Consumer Sciences Teachers, Postsecondary",31.46,50.12,43.76,71.56,Educational Instruction and Library Occupations,5.00,3.00,2630.00
Industrial Production Managers,19.54,45.17,43.66,67.40,Management Occupations,4.00,5.00,51505.00
Compliance Managers,55.62,63.43,43.65,72.45,Management Occupations,4.00,4.00,116780.00
Urban and Regional Planners,41.57,48.09,43.63,69.90,"Life, Physical, and Social Science Occupations",5.00,4.00,43040.00
Environmental Restoration Planners,28.49,32.52,43.61,66.17,"Life, Physical, and Social Science Occupations",5.00,4.00,7041.00
Genetic Counselors,47.32,53.84,43.61,63.94,Healthcare Practitioners and Technical Occupations,5.00,0.00,3510.00
Facilities Managers,7.55,41.14,43.60,66.26,Management Occupations,3.00,5.00,184500.52
Hydroelectric Plant Technicians,10.99,22.03,43.56,50.83,Production Occupations,3.00,4.00,2387.00
Spa Managers,46.13,81.10,43.52,68.08,Management Occupations,3.00,4.00,4869.00
Rehabilitation Counselors,38.06,59.95,43.32,69.01,Community and Social Service Occupations,4.00,3.00,88930.00
"Property, Real Estate, and Community Association Managers",61.50,68.54,43.07,64.32,Management Occupations,4.00,5.00,296640.00
Speech-Language Pathologists,40.44,46.68,42.98,71.85,Healthcare Practitioners and Technical Occupations,5.00,5.00,178790.00
Police and Sheriff's Patrol Officers,26.44,30.37,42.94,64.97,Protective Service Occupations,3.00,5.00,138105.00
Fuel Cell Engineers,37.66,41.52,42.78,57.04,Architecture and Engineering Occupations,4.00,5.00,46219.00
Lawyers,41.80,47.39,42.77,76.79,Legal Occupations,5.00,5.00,747750.00
Business Continuity Planners,56.03,59.83,42.68,73.73,Business and Financial Operations Occupations,4.00,4.00,217277.00
Marriage and Family Therapists,54.21,64.88,42.57,70.44,Community and Social Service Occupations,5.00,4.00,65870.00
Freight Forwarders,51.92,68.18,42.54,60.89,Office and Administrative Support Occupations,2.00,2.00,67478.00
Computer and Information Systems Managers,77.59,79.70,42.49,70.33,Management Occupations,4.00,5.00,645970.00
"Electronics Engineers, Except Computer",59.87,64.69,42.44,59.52,Architecture and Engineering Occupations,4.00,5.00,66013.00
Bioinformatics Scientists,72.19,78.79,42.41,67.60,"Life, Physical, and Social Science Occupations",5.00,4.00,27099.00
Real Estate Brokers,90.16,90.33,42.39,63.78,Sales and Related Occupations,4.00,4.00,49590.00
Medical Dosimetrists,32.41,49.52,42.32,64.60,Healthcare Practitioners and Technical Occupations,4.00,5.00,3970.00
Hearing Aid Specialists,14.11,14.11,42.25,59.54,Healthcare Practitioners and Technical Occupations,3.00,2.00,10580.00
"Special Education Teachers, Middle School",44.16,50.61,42.15,69.35,Educational Instruction and Library Occupations,4.00,4.00,95330.00
Industrial Ecologists,23.49,37.34,42.04,61.47,"Life, Physical, and Social Science Occupations",5.00,4.00,26139.00
Validation Engineers,35.48,47.59,42.00,63.43,Architecture and Engineering Occupations,4.00,4.00,87557.50
Fish and Game Wardens,37.81,38.96,41.98,61.79,Protective Service Occupations,4.00,4.00,6420.00
Non-Destructive Testing Specialists,40.30,42.34,41.93,56.84,Architecture and Engineering Occupations,2.00,3.00,47697.00
Microbiologists,55.44,57.54,41.92,63.89,"Life, Physical, and Social Science Occupations",4.00,3.00,19760.00
Conservation Scientists,14.57,23.08,41.76,61.02,"Life, Physical, and Social Science Occupations",4.00,3.00,5444.00
Healthcare Social Workers,42.22,44.39,41.76,68.79,Community and Social Service Occupations,5.00,4.00,185940.00
Registered Nurses,33.36,40.16,41.66,66.44,Healthcare Practitioners and Technical Occupations,4.00,5.00,304558.00
"History Teachers, Postsecondary",79.93,86.42,41.65,68.91,Educational Instruction and Library Occupations,5.00,4.00,19860.00
"Middle School Teachers, Except Special and Career/Technical Education",63.59,71.70,41.52,69.57,Educational Instruction and Library Occupations,4.00,5.00,620370.00
"Purchasing Agents, Except Wholesale, Retail, and Farm Products",71.60,81.95,41.48,70.36,Business and Financial Operations Occupations,4.00,4.00,162300.00
Medical and Clinical Laboratory Technologists,52.46,56.09,41.44,57.76,Healthcare Practitioners and Technical Occupations,4.00,4.00,42880.00
Photonics Engineers,54.71,60.71,41.42,58.55,Architecture and Engineering Occupations,4.00,5.00,37057.00
First-Line Supervisors of Personal Service Workers,27.95,48.69,41.36,66.77,Personal Care and Service Occupations,3.00,2.00,107697.71
Clinical and Counseling Psychologists,28.86,40.47,41.31,69.22,"Life, Physical, and Social Science Occupations",5.00,5.00,72190.00
Surveyors,33.39,58.70,41.29,62.41,Architecture and Engineering Occupations,4.00,4.00,38663.00
"Farmers, Ranchers, and Other Agricultural Managers",12.11,20.79,41.18,57.96,Management Occupations,4.00,4.00,5910.00
Recreational Therapists,44.55,52.32,41.17,65.64,Healthcare Practitioners and Technical Occupations,4.00,3.00,15060.00
Construction and Building Inspectors,24.32,40.89,41.15,59.42,Construction and Extraction Occupations,3.00,4.00,85782.00
Brownfield Redevelopment Specialists and Site Managers,15.93,35.42,41.07,65.40,Management Occupations,4.00,4.00,22567.00
Detectives and Criminal Investigators,31.20,44.48,41.05,65.68,Protective Service Occupations,3.00,4.00,18772.00
First-Line Supervisors of Retail Sales Workers,67.18,81.60,41.04,64.49,Sales and Related Occupations,2.00,3.00,1113160.00
"Law Teachers, Postsecondary",75.25,81.71,41.01,70.40,Educational Instruction and Library Occupations,5.00,3.00,22800.00
Fundraisers,56.91,69.00,40.99,67.44,Business and Financial Operations Occupations,4.00,3.00,105930.00
Transportation Planners,57.57,62.43,40.92,66.05,"Life, Physical, and Social Science Occupations",4.00,2.00,36970.00
Fitness and Wellness Coordinators,38.38,58.23,40.84,63.08,Management Occupations,4.00,4.00,5621.00
Midwives,31.44,37.18,40.77,62.90,Healthcare Practitioners and Technical Occupations,5.00,2.00,36970.00
Fundraising Managers,11.92,42.87,40.73,65.25,Management Occupations,4.00,4.00,58664.44
Remote Sensing Scientists and Technologists,39.16,66.30,40.72,62.28,"Life, Physical, and Social Science Occupations",4.00,4.00,22580.00
Public Relations Specialists,83.21,90.67,40.68,68.04,"Arts, Design, Entertainment, Sports, and Media Occupations",4.00,4.00,280590.00
First-Line Supervisors of Non-Retail Sales Workers,67.92,81.86,40.55,65.24,Sales and Related Occupations,4.00,4.00,219010.00
"Special Education Teachers, Elementary School",19.90,28.55,40.47,69.61,Educational Instruction and Library Occupations,4.00,4.00,92873.33
Mental Health and Substance Abuse Social Workers,51.92,51.92,40.44,65.56,Community and Social Service Occupations,5.00,4.00,125910.00
"Child, Family, and School Social Workers",40.05,47.14,40.39,68.60,Community and Social Service Occupations,4.00,3.00,382960.00
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",76.37,81.95,40.36,68.37,Educational Instruction and Library Occupations,5.00,4.00,11430.00
Wind Energy Operations Managers,18.02,40.39,40.36,59.99,Management Occupations,3.00,4.00,56843.00
"Judges, Magistrate Judges, and Magistrates",24.47,24.47,40.30,73.20,Legal Occupations,5.00,4.00,25580.00
Public Safety Telecommunicators,34.51,59.42,40.25,63.65,Office and Administrative Support Occupations,2.00,3.00,101140.00
"Career/Technical Education Teachers, Secondary School",53.33,57.09,40.22,69.60,Educational Instruction and Library Occupations,4.00,4.00,104450.00
Foresters,12.88,13.95,40.18,66.04,"Life, Physical, and Social Science Occupations",4.00,3.00,9650.00
First-Line Supervisors of Gambling Services Workers,37.61,45.36,40.09,62.07,Personal Care and Service Occupations,2.00,2.00,25530.00
"Medical Scientists, Except Epidemiologists",43.05,51.99,40.08,62.74,"Life, Physical, and Social Science Occupations",5.00,5.00,156300.00
"Kindergarten Teachers, Except Special Education",56.91,61.39,39.99,65.07,Educational Instruction and Library Occupations,4.00,3.00,114410.00
