title_current,config,pct_first,pct_last,pct_delta
Quality Control Systems Managers,agentic_confirmed,0.71,0.71,0.00
First-Line Supervisors of Security Workers,agentic_confirmed,0.00,0.00,0.00
Loss Prevention Managers,agentic_confirmed,4.15,4.15,0.00
Gambling Managers,agentic_confirmed,7.70,7.92,0.23
Aerospace Engineers,agentic_confirmed,2.54,2.54,0.00
Postmasters and Mail Superintendents,agentic_confirmed,11.51,12.06,0.55
Oral and Maxillofacial Surgeons,agentic_confirmed,0.00,0.00,0.00
Occupational Health and Safety Technicians,agentic_confirmed,6.11,9.62,3.52
"Transportation, Storage, and Distribution Managers",agentic_confirmed,7.32,11.68,4.37
First-Line Supervisors of Police and Detectives,agentic_confirmed,0.00,0.00,0.00
Sports Medicine Physicians,agentic_confirmed,0.00,1.17,1.17
Funeral Home Managers,agentic_confirmed,7.65,9.55,1.90
Dermatologists,agentic_confirmed,0.00,0.00,0.00
"Career/Technical Education Teachers, Postsecondary",agentic_confirmed,23.16,33.75,10.60
First-Line Supervisors of Correctional Officers,agentic_confirmed,11.02,11.02,0.00
"Mining and Geological Engineers, Including Mining Safety Engineers",agentic_confirmed,0.00,0.00,0.00
Orthodontists,agentic_confirmed,8.62,8.62,0.00
Wind Energy Engineers,agentic_confirmed,0.00,0.00,0.00
Petroleum Engineers,agentic_confirmed,0.00,0.00,0.00
Nanotechnology Engineering Technologists and Technicians,agentic_confirmed,13.58,14.20,0.62
"Family and Consumer Sciences Teachers, Postsecondary",agentic_confirmed,39.11,54.34,15.24
Industrial Production Managers,agentic_confirmed,0.00,0.00,0.00
Environmental Restoration Planners,agentic_confirmed,0.00,0.00,0.00
Facilities Managers,agentic_confirmed,0.00,1.86,1.86
Hydroelectric Plant Technicians,agentic_confirmed,0.00,0.00,0.00
Police and Sheriff's Patrol Officers,agentic_confirmed,9.64,15.94,6.30
Medical Dosimetrists,agentic_confirmed,0.00,0.00,0.00
Hearing Aid Specialists,agentic_confirmed,0.00,0.00,0.00
Industrial Ecologists,agentic_confirmed,2.00,2.00,0.00
Conservation Scientists,agentic_confirmed,0.00,0.00,0.00
First-Line Supervisors of Personal Service Workers,agentic_confirmed,3.98,7.40,3.42
Clinical and Counseling Psychologists,agentic_confirmed,34.39,39.26,4.86
"Farmers, Ranchers, and Other Agricultural Managers",agentic_confirmed,0.59,4.31,3.72
Construction and Building Inspectors,agentic_confirmed,14.59,14.59,0.00
Brownfield Redevelopment Specialists and Site Managers,agentic_confirmed,0.00,0.00,0.00
Detectives and Criminal Investigators,agentic_confirmed,6.56,22.66,16.11
Midwives,agentic_confirmed,3.76,14.62,10.86
Fundraising Managers,agentic_confirmed,5.14,5.96,0.82
"Special Education Teachers, Elementary School",agentic_confirmed,7.45,7.56,0.11
Wind Energy Operations Managers,agentic_confirmed,6.98,11.19,4.21
