category,pct_human_conv,pct_aei_api,pct_microsoft,pct_mcp,z_human_conv,z_aei_api,z_microsoft,z_mcp
Actors,63.20,57.76,14.19,10.09,1.36,0.97,-1.01,-1.30
"Psychology Teachers, Postsecondary",63.09,53.07,31.63,24.36,1.79,0.65,-0.76,-1.55
Judicial Law Clerks,62.97,28.28,20.23,37.03,4.10,-0.55,-1.25,-0.01
Clergy,62.64,9.73,42.32,15.70,2.31,-1.30,0.45,-0.84
"Foreign Language and Literature Teachers, Postsecondary",62.64,56.19,33.13,34.29,1.65,0.77,-1.21,-1.05
Medical Transcriptionists,62.52,49.88,16.39,59.29,0.92,0.15,-6.22,0.69
Intelligence Analysts,62.38,53.44,41.39,35.94,2.10,0.49,-0.68,-1.56
Operations Research Analysts,62.27,41.86,48.09,53.64,2.45,-1.79,-0.44,0.28
Web Administrators,62.12,49.12,45.23,72.88,0.43,-0.79,-1.36,2.34
"Sociology Teachers, Postsecondary",61.82,52.87,29.97,29.08,1.82,0.67,-1.06,-1.17
"Law Teachers, Postsecondary",61.74,63.46,35.79,26.97,1.03,1.22,-0.73,-1.72
Procurement Clerks,61.70,34.27,42.02,43.90,4.24,-1.38,-0.33,-0.15
Investment Fund Managers,61.65,66.18,21.33,56.88,0.57,0.89,-8.65,0.29
Personal Financial Advisors,61.54,59.97,44.46,47.82,1.32,0.96,-1.60,-0.79
"English Language and Literature Teachers, Postsecondary",61.41,52.83,34.57,39.74,2.02,0.53,-1.54,-0.72
Craft Artists,61.19,25.41,43.69,24.20,2.76,-0.95,0.32,-1.07
"Criminal Justice and Law Enforcement Teachers, Postsecondary",60.89,56.15,33.36,27.00,1.44,0.87,-0.80,-1.57
Physicists,60.82,10.02,40.77,36.14,1.92,-2.74,0.20,-0.04
Sales Engineers,60.56,51.57,38.02,41.70,2.40,0.40,-1.41,-0.74
"Anthropology and Archeology Teachers, Postsecondary",60.49,56.89,32.93,28.46,1.38,0.94,-0.89,-1.44
Counter and Rental Clerks,60.46,44.14,51.20,62.68,0.83,-2.30,-0.45,1.31
"Art, Drama, and Music Teachers, Postsecondary",60.40,49.45,30.88,22.88,1.91,0.58,-0.69,-1.61
Sustainability Specialists,60.25,18.79,20.08,22.20,23.21,-0.68,-0.59,-0.46
"Wholesale and Retail Buyers, Except Farm Products",60.23,36.56,44.49,36.91,4.67,-0.90,-0.01,-0.85
Human Resources Specialists,60.20,63.88,22.37,59.13,0.52,0.77,-15.53,0.45
Marketing Managers,59.80,62.85,26.75,47.08,0.79,1.10,-3.57,-0.14
"Interviewers, Except Eligibility and Loan",59.68,43.61,36.34,52.12,1.98,-0.48,-1.92,0.47
Mathematicians,59.52,33.71,51.99,48.39,1.53,-3.45,0.37,-0.00
Statisticians,59.35,59.91,45.46,67.17,0.17,0.23,-3.82,1.50
"Bookkeeping, Accounting, and Auditing Clerks",59.22,33.02,40.95,68.48,0.63,-1.66,-0.69,1.79
Sociologists,59.14,53.48,32.33,24.19,1.49,0.82,-0.71,-1.71
Bioinformatics Scientists,59.06,60.31,40.62,59.74,0.49,0.66,-30.57,0.58
Document Management Specialists,58.59,54.20,44.31,70.09,0.18,-0.27,-2.03,2.42
"Mathematical Science Teachers, Postsecondary",58.46,53.52,33.52,35.81,1.60,0.79,-1.32,-0.96
Logisticians,58.40,17.63,26.78,28.99,5.63,-1.16,-0.39,-0.25
Commercial and Industrial Designers,58.31,1.45,39.24,40.81,1.40,-4.22,0.20,0.27
Executive Secretaries and Executive Administrative Assistants,58.29,42.41,40.85,66.64,0.58,-0.98,-1.21,2.02
Computer Systems Analysts,57.53,60.67,43.79,69.13,-0.03,0.30,-3.11,1.69
Concierges,57.50,42.90,44.52,66.62,0.46,-1.20,-0.93,2.29
Economists,57.48,59.52,49.72,27.10,0.72,0.93,0.09,-5.51
Art Directors,57.44,31.33,38.48,34.58,6.33,-1.00,-0.19,-0.58
Museum Technicians and Conservators,57.36,0.00,36.93,24.60,1.96,-2.39,0.33,-0.24
Video Game Designers,57.35,16.96,46.96,47.48,1.16,-5.75,0.30,0.34
