title_current,employment,median_wage,major,minor,broad,job_zone,outlook,pct_all_ceiling,tier_all_ceiling,workers_all_ceiling,pct_human_conversation,tier_human_conversation,workers_human_conversation,pct_agentic_confirmed,tier_agentic_confirmed,workers_agentic_confirmed,pct_all_confirmed,tier_all_confirmed,workers_all_confirmed,pct_agentic_ceiling,tier_agentic_ceiling,workers_agentic_ceiling
First-Line Supervisors of Passenger Attendants,107697.71,52137.45,Transportation and Material Moving Occupations,Supervisors of Transportation and Material Moving Workers,First-Line Supervisors of Transportation and Material Moving Workers,3.00,2.00,31.50,restructuring,33929.04,23.83,restructuring,25665.67,7.71,low,8298.84,23.83,restructuring,25665.67,13.51,low,14551.67
First-Line Supervisors of Personal Service Workers,107697.71,52137.45,Personal Care and Service Occupations,Supervisors of Personal Care and Service Workers,First-Line Supervisors of Personal Service Workers,3.00,2.00,48.69,moderate,52437.14,25.33,restructuring,27281.47,7.40,low,7971.31,27.95,restructuring,30100.48,34.58,restructuring,37237.72
First-Line Supervisors of Police and Detectives,153130.00,105980.00,Protective Service Occupations,Supervisors of Protective Service Workers,First-Line Supervisors of Law Enforcement Workers,2.00,5.00,42.62,moderate,65260.32,18.41,low,28194.40,0.00,low,0.00,18.41,low,28194.40,25.92,restructuring,39693.10
First-Line Supervisors of Production and Operating Workers,685140.00,71190.00,Production Occupations,Supervisors of Production Workers,First-Line Supervisors of Production and Operating Workers,3.00,4.00,45.40,moderate,311051.96,32.25,restructuring,220960.84,2.09,low,14337.55,32.67,restructuring,223843.33,26.86,restructuring,184035.12
First-Line Supervisors of Retail Sales Workers,1113160.00,47320.00,Sales and Related Occupations,Supervisors of Sales Workers,First-Line Supervisors of Sales Workers,2.00,3.00,81.60,high,908388.03,56.92,moderate,633664.75,48.44,moderate,539172.34,67.18,high,747844.83,69.39,high,772415.02
First-Line Supervisors of Security Workers,70310.00,58610.00,Protective Service Occupations,Supervisors of Protective Service Workers,"Miscellaneous First-Line Supervisors, Protective Service Workers",2.00,3.00,44.92,moderate,31584.00,21.55,restructuring,15150.16,0.00,low,0.00,21.55,restructuring,15150.16,37.49,restructuring,26359.53
Fish and Game Wardens,6420.00,68180.00,Protective Service Occupations,Law Enforcement Workers,Fish and Game Wardens,4.00,4.00,38.96,restructuring,2501.26,37.81,restructuring,2427.34,0.00,low,0.00,37.81,restructuring,2427.34,3.07,low,197.40
Fishing and Hunting Workers,0.00,31471.20,"Farming, Fishing, and Forestry Occupations",Fishing and Hunting Workers,Fishing and Hunting Workers,1.00,1.00,9.29,low,0.00,5.81,low,0.00,0.00,low,0.00,5.81,low,0.00,4.30,low,0.00
Fitness and Wellness Coordinators,5621.00,61340.00,Management Occupations,Other Management Occupations,Personal Service Managers,4.00,4.00,58.23,moderate,3272.98,29.60,restructuring,1664.08,22.60,restructuring,1270.25,38.38,restructuring,2157.62,47.46,moderate,2667.78
Flight Attendants,130110.00,67130.00,Transportation and Material Moving Occupations,Air Transportation Workers,Flight Attendants,2.00,3.00,38.93,restructuring,50657.03,36.73,restructuring,47790.70,4.64,low,6036.15,36.73,restructuring,47790.70,12.83,low,16689.79
"Floor Layers, Except Carpet, Wood, and Hard Tiles",24850.00,54340.00,Construction and Extraction Occupations,Construction Trades Workers,"Carpet, Floor, and Tile Installers and Finishers",2.00,3.00,9.90,low,2459.51,9.90,low,2459.51,0.00,low,0.00,9.90,low,2459.51,4.15,low,1031.27
Floor Sanders and Finishers,4140.00,49150.00,Construction and Extraction Occupations,Construction Trades Workers,"Carpet, Floor, and Tile Installers and Finishers",1.00,3.00,0.00,low,0.00,0.00,low,0.00,0.00,low,0.00,0.00,low,0.00,0.00,low,0.00
Floral Designers,40160.00,36120.00,"Arts, Design, Entertainment, Sports, and Media Occupations",Art and Design Workers,Designers,2.00,1.00,43.14,moderate,17323.06,33.92,restructuring,13623.31,0.00,low,0.00,33.92,restructuring,13623.31,19.32,low,7759.86
Food Batchmakers,171660.00,40790.00,Production Occupations,Food Processing Workers,Miscellaneous Food Processing Workers,2.00,2.00,33.14,restructuring,56879.85,25.16,restructuring,43183.99,0.00,low,0.00,25.16,restructuring,43183.99,17.23,low,29584.18
Food Cooking Machine Operators and Tenders,27660.00,40550.00,Production Occupations,Food Processing Workers,Miscellaneous Food Processing Workers,2.00,1.00,35.76,restructuring,9892.52,18.90,low,5228.13,0.00,low,0.00,18.90,low,5228.13,22.56,restructuring,6239.83
Food Preparation Workers,888770.00,34220.00,Food Preparation and Serving Related Occupations,Cooks and Food Preparation Workers,Food Preparation Workers,2.00,2.00,38.18,restructuring,339344.42,35.77,restructuring,317926.91,0.00,low,0.00,35.77,restructuring,317926.91,9.19,low,81675.97
Food Science Technicians,9848.10,47795.71,"Life, Physical, and Social Science Occupations","Life, Physical, and Social Science Technicians",Agricultural and Food Science Technicians,3.00,2.00,48.63,moderate,4789.21,34.36,restructuring,3383.77,15.50,low,1526.19,35.68,restructuring,3513.84,37.74,restructuring,3716.83
Food Scientists and Technologists,14370.00,85310.00,"Life, Physical, and Social Science Occupations",Life Scientists,Agricultural and Food Scientists,4.00,4.00,48.90,moderate,7026.67,37.30,restructuring,5359.36,34.61,restructuring,4973.64,48.90,moderate,7026.67,36.76,restructuring,5281.97
"Food Servers, Nonrestaurant",271780.00,34460.00,Food Preparation and Serving Related Occupations,Food and Beverage Serving Workers,"Food Servers, Nonrestaurant",2.00,2.00,32.27,restructuring,87692.93,19.93,low,54179.18,6.53,low,17747.23,22.31,restructuring,60632.72,20.94,restructuring,56912.17
Food Service Managers,244230.00,65310.00,Management Occupations,Other Management Occupations,Food Service Managers,2.00,3.00,46.49,moderate,113535.72,27.32,restructuring,66716.44,14.83,low,36231.17,32.93,restructuring,80413.25,36.47,restructuring,89067.54
"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",19500.00,42730.00,Production Occupations,Food Processing Workers,Miscellaneous Food Processing Workers,2.00,1.00,29.58,restructuring,5768.21,10.59,low,2065.00,0.00,low,0.00,10.59,low,2065.00,20.76,restructuring,4048.14
"Foreign Language and Literature Teachers, Postsecondary",21170.00,77010.00,Educational Instruction and Library Occupations,Postsecondary Teachers,"Arts, Communications, History, and Humanities Teachers, Postsecondary",5.00,4.00,81.98,high,17355.83,62.64,high,13259.83,56.19,moderate,11896.14,70.20,high,14862.06,69.54,high,14720.67
Forensic Science Technicians,19450.00,67440.00,"Life, Physical, and Social Science Occupations","Life, Physical, and Social Science Technicians","Miscellaneous Life, Physical, and Social Science Technicians",3.00,2.00,58.06,moderate,11292.59,44.69,moderate,8692.87,14.61,low,2842.42,50.01,moderate,9727.02,29.15,restructuring,5669.11
Forest Fire Inspectors and Prevention Specialists,2780.00,52380.00,Protective Service Occupations,Firefighting and Prevention Workers,Fire Inspectors,3.00,3.00,39.56,restructuring,1099.80,12.20,low,339.12,0.00,low,0.00,12.20,low,339.12,36.37,restructuring,1011.00
Forest and Conservation Technicians,31080.00,54310.00,"Life, Physical, and Social Science Occupations","Life, Physical, and Social Science Technicians",Forest and Conservation Technicians,3.00,2.00,26.68,restructuring,8291.85,21.02,restructuring,6532.48,5.30,low,1646.12,22.14,restructuring,6880.15,14.91,low,4632.72
Forest and Conservation Workers,5630.00,43680.00,"Farming, Fishing, and Forestry Occupations","Forest, Conservation, and Logging Workers",Forest and Conservation Workers,2.00,1.00,14.95,low,841.84,11.78,low,663.48,0.00,low,0.00,11.78,low,663.48,4.63,low,260.68
Foresters,9650.00,70660.00,"Life, Physical, and Social Science Occupations",Life Scientists,Conservation Scientists and Foresters,4.00,3.00,13.95,low,1345.70,12.88,low,1242.87,0.00,low,0.00,12.88,low,1242.87,1.80,low,173.58
"Forestry and Conservation Science Teachers, Postsecondary",1310.00,100830.00,Educational Instruction and Library Occupations,Postsecondary Teachers,"Life Sciences Teachers, Postsecondary",5.00,4.00,80.90,high,1059.81,63.40,high,830.57,51.86,moderate,679.38,73.62,high,964.40,63.78,high,835.55
"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",8760.00,49240.00,Production Occupations,Metal Workers and Plastic Workers,"Forming Machine Setters, Operators, and Tenders, Metal and Plastic",2.00,2.00,22.30,restructuring,1953.24,20.06,restructuring,1757.12,0.00,low,0.00,20.06,restructuring,1757.12,5.73,low,502.34
Foundry Mold and Coremakers,12720.00,45700.00,Production Occupations,Metal Workers and Plastic Workers,"Molders and Molding Machine Setters, Operators, and Tenders, Metal and Plastic",2.00,2.00,1.73,low,219.60,0.00,low,0.00,0.00,low,0.00,0.00,low,0.00,1.73,low,219.60
"Fraud Examiners, Investigators and Analysts",34204.00,80190.00,Business and Financial Operations Occupations,Financial Specialists,Miscellaneous Financial Specialists,4.00,4.00,81.48,high,27870.07,45.21,moderate,15464.52,36.96,restructuring,12642.82,68.45,high,23412.96,54.26,moderate,18558.05
Freight Forwarders,67478.00,49900.00,Office and Administrative Support Occupations,"Material Recording, Scheduling, Dispatching, and Distributing Workers",Cargo and Freight Agents,2.00,2.00,68.18,high,46003.60,40.53,moderate,27347.47,26.68,restructuring,18004.14,51.92,moderate,35035.73,57.71,moderate,38943.92
Fuel Cell Engineers,46219.00,102320.00,Architecture and Engineering Occupations,Engineers,Mechanical Engineers,4.00,5.00,41.52,moderate,19191.26,37.26,restructuring,17222.32,2.30,low,1061.85,37.66,restructuring,17405.41,27.22,restructuring,12583.09
Fundraisers,105930.00,66490.00,Business and Financial Operations Occupations,Business Operations Specialists,Fundraisers,4.00,3.00,69.00,high,73087.38,39.65,restructuring,42001.56,14.57,low,15437.41,56.91,moderate,60288.98,53.12,moderate,56275.08
Fundraising Managers,58664.44,131835.56,Management Occupations,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Public Relations and Fundraising Managers,4.00,4.00,42.87,moderate,25149.33,11.92,low,6991.95,5.96,low,3497.35,11.92,low,6991.95,40.98,moderate,24040.55
Funeral Attendants,30560.00,34610.00,Personal Care and Service Occupations,Funeral Service Workers,Funeral Attendants,2.00,2.00,40.19,moderate,12282.66,38.87,restructuring,11879.83,15.40,low,4707.24,40.19,moderate,12282.66,23.47,restructuring,7172.36
Funeral Home Managers,13120.00,76830.00,Management Occupations,Other Management Occupations,Personal Service Managers,3.00,4.00,38.78,restructuring,5088.28,19.66,low,2578.78,9.55,low,1253.13,19.66,low,2578.78,28.90,restructuring,3791.22
"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",16160.00,47010.00,Production Occupations,Other Production Occupations,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",2.00,1.00,47.31,moderate,7645.96,23.19,restructuring,3748.25,4.44,low,717.09,25.77,restructuring,4164.06,29.74,restructuring,4806.36
Furniture Finishers,14230.00,42530.00,Production Occupations,Woodworkers,Furniture Finishers,2.00,2.00,16.17,low,2300.63,16.17,low,2300.63,0.00,low,0.00,16.17,low,2300.63,0.62,low,87.97
Gambling Cage Workers,13490.00,36990.00,Office and Administrative Support Occupations,Financial Clerks,Gambling Cage Workers,2.00,3.00,46.57,moderate,6282.70,31.39,restructuring,4234.91,10.25,low,1383.01,31.39,restructuring,4234.91,40.31,moderate,5437.74
Gambling Change Persons and Booth Cashiers,21930.00,34810.00,Sales and Related Occupations,Retail Sales Workers,Cashiers,2.00,2.00,51.12,moderate,11211.42,30.95,restructuring,6788.20,0.00,low,0.00,30.95,restructuring,6788.20,44.06,moderate,9663.16
Gambling Dealers,82980.00,33280.00,Personal Care and Service Occupations,Entertainment Attendants and Related Workers,Gambling Services Workers,2.00,2.00,51.56,moderate,42784.51,47.20,moderate,39162.52,9.16,low,7602.17,47.20,moderate,39162.52,44.68,moderate,37074.07
Gambling Managers,4620.00,85580.00,Management Occupations,Other Management Occupations,Entertainment and Recreation Managers,2.00,3.00,36.14,restructuring,1669.50,21.88,restructuring,1010.65,7.92,low,365.97,21.88,restructuring,1010.65,19.47,low,899.41
Gambling Surveillance Officers and Gambling Investigators,10000.00,43900.00,Protective Service Occupations,Other Protective Service Workers,Security Guards and Gambling Surveillance Officers,2.00,2.00,61.84,high,6184.26,37.15,restructuring,3715.12,15.41,low,1541.43,37.15,restructuring,3715.12,48.07,moderate,4806.67
Gambling and Sports Book Writers and Runners,7600.00,30460.00,Personal Care and Service Occupations,Entertainment Attendants and Related Workers,Gambling Services Workers,2.00,2.00,50.78,moderate,3859.26,41.19,moderate,3130.16,3.31,low,251.25,41.19,moderate,3130.16,45.32,moderate,3444.31
Gas Compressor and Gas Pumping Station Operators,5110.00,71510.00,Transportation and Material Moving Occupations,Material Moving Workers,Pumping Station Operators,2.00,3.00,51.97,moderate,2655.82,0.83,low,42.52,0.00,low,0.00,0.83,low,42.52,51.14,moderate,2613.30
Gas Plant Operators,15910.00,83400.00,Production Occupations,Plant and System Operators,Miscellaneous Plant and System Operators,2.00,3.00,32.89,restructuring,5233.53,19.07,low,3034.32,10.55,low,1678.79,21.18,restructuring,3369.84,23.03,restructuring,3663.42
Gem and Diamond Workers,6190.00,49140.00,Production Occupations,Other Production Occupations,Jewelers and Precious Stone and Metal Workers,3.00,2.00,29.86,restructuring,1848.11,29.86,restructuring,1848.11,0.00,low,0.00,29.86,restructuring,1848.11,5.94,low,367.48
General Internal Medicine Physicians,66640.00,236350.00,Healthcare Practitioners and Technical Occupations,Healthcare Diagnosing or Treating Practitioners,Physicians,5.00,4.00,22.61,restructuring,15067.06,16.70,low,11129.04,28.46,restructuring,18968.45,16.70,low,11129.04,10.88,low,7248.05
General and Operations Managers,3584420.00,102950.00,Management Occupations,Top Executives,General and Operations Managers,4.00,5.00,52.31,moderate,1875106.72,25.56,restructuring,916037.37,8.65,low,309916.44,27.87,restructuring,999093.32,42.78,moderate,1533487.02
Genetic Counselors,3510.00,98910.00,Healthcare Practitioners and Technical Occupations,Other Healthcare Practitioners and Technical Occupations,Miscellaneous Health Practitioners and Technical Workers,5.00,0.00,53.84,moderate,1889.75,42.05,moderate,1475.98,13.27,low,465.82,47.32,moderate,1660.80,32.13,restructuring,1127.68
Geneticists,10170.00,93330.00,"Life, Physical, and Social Science Occupations",Life Scientists,Biological Scientists,5.00,4.00,64.10,high,6519.01,34.40,restructuring,3498.90,33.78,restructuring,3435.74,47.63,moderate,4843.97,54.28,moderate,5520.17
Geodetic Surveyors,14417.00,72740.00,Architecture and Engineering Occupations,"Architects, Surveyors, and Cartographers","Surveyors, Cartographers, and Photogrammetrists",4.00,4.00,55.84,moderate,8050.33,19.01,low,2740.44,3.55,low,511.75,19.55,low,2818.39,48.95,moderate,7056.67
Geographers,1380.00,97200.00,"Life, Physical, and Social Science Occupations",Social Scientists and Related Workers,Miscellaneous Social Scientists and Related Workers,4.00,2.00,71.84,high,991.33,67.38,high,929.84,25.60,restructuring,353.33,67.97,high,938.03,55.49,moderate,765.82
Geographic Information Systems Technologists and Technicians,86239.00,108970.00,Computer and Mathematical Occupations,Computer Occupations,Miscellaneous Computer Occupations,3.00,5.00,71.61,high,61756.31,47.21,moderate,40709.84,47.33,moderate,40819.83,47.21,moderate,40709.84,69.16,high,59639.56
