broad,broad_avg_pct,broad_rank,major,major_avg_pct,major_rank,rank_deviation,pct_deviation
Gambling Services Workers,44.19,147.00,Personal Care and Service Occupations,32.09,13.00,-134.00,12.10
General and Operations Managers,27.87,265.00,Management Occupations,36.26,11.00,-254.00,-8.38
Glaziers,15.47,362.00,Construction and Extraction Occupations,14.38,22.00,-340.00,1.09
"Graders and Sorters, Agricultural Products",10.06,403.00,"Farming, Fishing, and Forestry Occupations",15.89,21.00,-382.00,-5.84
Grounds Maintenance Workers,9.67,407.00,Building and Grounds Cleaning and Maintenance Occupations,18.17,19.00,-388.00,-8.50
Hazardous Materials Removal Workers,9.12,409.00,Construction and Extraction Occupations,14.38,22.00,-387.00,-5.26
Health Information Technologists and Medical Registrars,38.11,187.00,Healthcare Practitioners and Technical Occupations,29.69,15.00,-172.00,8.42
Health Practitioner Support Technologists and Technicians,25.20,284.00,Healthcare Practitioners and Technical Occupations,29.69,15.00,-269.00,-4.49
"Health Teachers, Postsecondary",68.23,49.00,Educational Instruction and Library Occupations,61.44,3.00,-46.00,6.79
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",27.05,272.00,"Installation, Maintenance, and Repair Occupations",24.56,17.00,-255.00,2.49
Heavy Vehicle and Mobile Equipment Service Technicians and Mechanics,15.81,359.00,"Installation, Maintenance, and Repair Occupations",24.56,17.00,-342.00,-8.75
"Helpers, Construction Trades",11.42,394.00,Construction and Extraction Occupations,14.38,22.00,-372.00,-2.96
Helpers--Extraction Workers,3.66,431.00,Construction and Extraction Occupations,14.38,22.00,-409.00,-10.72
Highway Maintenance Workers,3.21,433.00,Construction and Extraction Occupations,14.38,22.00,-411.00,-11.17
Hoist and Winch Operators,8.77,411.00,Transportation and Material Moving Occupations,16.67,20.00,-391.00,-7.90
Home Appliance Repairers,27.39,268.00,"Installation, Maintenance, and Repair Occupations",24.56,17.00,-251.00,2.83
Home Health and Personal Care Aides,36.85,198.00,Healthcare Support Occupations,25.68,16.00,-182.00,11.18
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",54.22,90.00,Food Preparation and Serving Related Occupations,34.48,12.00,-78.00,19.74
"Hotel, Motel, and Resort Desk Clerks",55.30,87.00,Office and Administrative Support Occupations,52.87,4.00,-83.00,2.43
"Human Resources Assistants, Except Payroll and Timekeeping",82.15,10.00,Office and Administrative Support Occupations,52.87,4.00,-6.00,29.28
Human Resources Managers,52.33,107.00,Management Occupations,36.26,11.00,-96.00,16.07
